For vm-1a:
file /var/log/audit/audit.log at 2024-06-02T22:43:41.834Z, log record: type=SERVICE_START msg=audit(1717368219.440:190): pid=1 uid=0 auid=4294967295 ses=4294967295 subj=unconfined msg='unit=gce-workload-cert-refresh comm="systemd" exe="/usr/lib/systemd/systemd" hostname=? addr=? terminal=? res=success'
file /var/log/audit/audit.log at 2024-06-02T22:43:41.835Z, log record: type=SERVICE_STOP msg=audit(1717368219.440:191): pid=1 uid=0 auid=4294967295 ses=4294967295 subj=unconfined msg='unit=gce-workload-cert-refresh comm="systemd" exe="/usr/lib/systemd/systemd" hostname=? addr=? terminal=? res=success'
file /var/log/audit/audit.log at 2024-06-02T22:43:39.440Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-02T22:43:39.440Z, log record: unknown
For vm-2a:
file /var/log/audit/audit.log at 2024-06-02T22:43:27.159Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-02T22:43:27.159Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-02T22:43:27.259Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-02T22:43:28.999Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-02T22:43:29.003Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-02T22:43:29.003Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-02T22:43:29.003Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-02T22:43:29.003Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-02T22:43:29.443Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-02T22:43:29.447Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-02T22:43:29.591Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-02T22:43:29.591Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-02T22:43:29.591Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-02T22:43:29.591Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-02T22:43:29.639Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-02T22:43:29.639Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-02T22:43:31.604Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-02T22:43:31.604Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-02T22:43:31.744Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-02T22:43:36.733Z, log record: type=USER_LOGIN msg=audit(1717368207.159:384): pid=3079 uid=0 auid=4294967295 ses=4294967295 subj=unconfined msg='op=login acct=28756E6B6E6F776E207573657229 exe="/usr/sbin/sshd" hostname=? addr=43.163.197.120 terminal=sshd res=failed'
file /var/log/audit/audit.log at 2024-06-02T22:43:36.733Z, log record: type=USER_LOGIN msg=audit(1717368207.159:385): pid=3079 uid=0 auid=4294967295 ses=4294967295 subj=unconfined msg='op=login acct=28696E76616C6964207573657229 exe="/usr/sbin/sshd" hostname=? addr=43.163.197.120 terminal=sshd res=failed'
file /var/log/audit/audit.log at 2024-06-02T22:43:36.733Z, log record: type=USER_ERR msg=audit(1717368207.259:386): pid=3079 uid=0 auid=4294967295 ses=4294967295 subj=unconfined msg='op=PAM:bad_ident grantors=? acct="?" exe="/usr/sbin/sshd" hostname=43.163.197.120 addr=43.163.197.120 terminal=ssh res=failed'
file /var/log/audit/audit.log at 2024-06-02T22:43:36.733Z, log record: type=USER_ACCT msg=audit(1717368208.999:387): pid=3081 uid=0 auid=4294967295 ses=4294967295 subj=unconfined msg='op=PAM:accounting grantors=pam_permit acct="professor" exe="/usr/sbin/sshd" hostname=68.108.247.157 addr=68.108.247.157 terminal=ssh res=success'
file /var/log/audit/audit.log at 2024-06-02T22:43:36.733Z, log record: type=CRED_ACQ msg=audit(1717368209.003:388): pid=3081 uid=0 auid=4294967295 ses=4294967295 subj=unconfined msg='op=PAM:setcred grantors=pam_permit,pam_cap acct="professor" exe="/usr/sbin/sshd" hostname=68.108.247.157 addr=68.108.247.157 terminal=ssh res=success'
file /var/log/audit/audit.log at 2024-06-02T22:43:36.733Z, log record: type=LOGIN msg=audit(1717368209.003:389): pid=3081 uid=0 subj=unconfined old-auid=4294967295 auid=1001 tty=(none) old-ses=4294967295 ses=13 res=1
file /var/log/audit/audit.log at 2024-06-02T22:43:36.733Z, log record: type=SYSCALL msg=audit(1717368209.003:389): arch=c000003e syscall=1 success=yes exit=4 a0=3 a1=7fff3c0ddd80 a2=4 a3=7fd7fc4cb371 items=0 ppid=800 pid=3081 auid=1001 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=(none) ses=13 comm="sshd" exe="/usr/sbin/sshd" subj=unconfined key=(null)
file /var/log/audit/audit.log at 2024-06-02T22:43:36.733Z, log record: type=PROCTITLE msg=audit(1717368209.003:389): proctitle=737368643A2070726F666573736F72205B707269765D
file /var/log/audit/audit.log at 2024-06-02T22:43:36.733Z, log record: type=USER_START msg=audit(1717368209.443:390): pid=3081 uid=0 auid=1001 ses=13 subj=unconfined msg='op=PAM:session_open grantors=pam_selinux,pam_loginuid,pam_keyinit,pam_permit,pam_umask,pam_unix,pam_systemd,pam_mail,pam_limits,pam_env,pam_env,pam_selinux acct="professor" exe="/usr/sbin/sshd" hostname=68.108.247.157 addr=68.108.247.157 terminal=ssh res=success'
file /var/log/audit/audit.log at 2024-06-02T22:43:36.733Z, log record: type=CRED_ACQ msg=audit(1717368209.447:391): pid=3154 uid=0 auid=1001 ses=13 subj=unconfined msg='op=PAM:setcred grantors=pam_permit,pam_cap acct="professor" exe="/usr/sbin/sshd" hostname=68.108.247.157 addr=68.108.247.157 terminal=ssh res=success'
file /var/log/audit/audit.log at 2024-06-02T22:43:36.734Z, log record: type=SYSCALL msg=audit(1717368209.591:392): arch=c000003e syscall=268 success=yes exit=0 a0=ffffff9c a1=55ef955d01b0 a2=1ed a3=fff items=1 ppid=3154 pid=3155 auid=1001 uid=1001 gid=1002 euid=1001 suid=1001 fsuid=1001 egid=1002 sgid=1002 fsgid=1002 tty=(none) ses=13 comm="chmod" exe="/usr/bin/chmod" subj=unconfined key="create_modify_files"
file /var/log/audit/audit.log at 2024-06-02T22:43:36.734Z, log record: type=CWD msg=audit(1717368209.591:392): cwd="/home/professor"
file /var/log/audit/audit.log at 2024-06-02T22:43:36.734Z, log record: type=PATH msg=audit(1717368209.591:392): item=0 name="/home/professor/example.txt" inode=258060 dev=08:01 mode=0100664 ouid=1001 ogid=1002 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0
file /var/log/audit/audit.log at 2024-06-02T22:43:36.734Z, log record: type=PROCTITLE msg=audit(1717368209.591:392): proctitle=63686D6F6400373535002F686F6D652F70726F666573736F722F6578616D706C652E747874
file /var/log/audit/audit.log at 2024-06-02T22:43:36.734Z, log record: type=USER_END msg=audit(1717368209.639:393): pid=3081 uid=0 auid=1001 ses=13 subj=unconfined msg='op=PAM:session_close grantors=pam_selinux,pam_loginuid,pam_keyinit,pam_permit,pam_umask,pam_unix,pam_systemd,pam_mail,pam_limits,pam_env,pam_env,pam_selinux acct="professor" exe="/usr/sbin/sshd" hostname=68.108.247.157 addr=68.108.247.157 terminal=ssh res=success'
file /var/log/audit/audit.log at 2024-06-02T22:43:36.734Z, log record: type=CRED_DISP msg=audit(1717368209.639:394): pid=3081 uid=0 auid=1001 ses=13 subj=unconfined msg='op=PAM:setcred grantors=pam_permit acct="professor" exe="/usr/sbin/sshd" hostname=68.108.247.157 addr=68.108.247.157 terminal=ssh res=success'
file /var/log/audit/audit.log at 2024-06-02T22:43:36.734Z, log record: type=USER_LOGIN msg=audit(1717368211.604:395): pid=3156 uid=0 auid=4294967295 ses=4294967295 subj=unconfined msg='op=login acct=28756E6B6E6F776E207573657229 exe="/usr/sbin/sshd" hostname=? addr=34.91.0.68 terminal=sshd res=failed'
