For vm-2a:
file /var/log/audit/audit.log at 2024-06-03T00:22:08.521Z, log record: type=USER_LOGIN msg=audit(1717374125.134:1112): pid=7404 uid=0 auid=4294967295 ses=4294967295 subj=unconfined msg='op=login acct=28756E6B6E6F776E207573657229 exe="/usr/sbin/sshd" hostname=? addr=43.128.131.205 terminal=sshd res=failed'
file /var/log/audit/audit.log at 2024-06-03T00:22:08.538Z, log record: type=USER_LOGIN msg=audit(1717374125.134:1113): pid=7404 uid=0 auid=4294967295 ses=4294967295 subj=unconfined msg='op=login acct=28696E76616C6964207573657229 exe="/usr/sbin/sshd" hostname=? addr=43.128.131.205 terminal=sshd res=failed'
file /var/log/audit/audit.log at 2024-06-03T00:22:08.538Z, log record: type=USER_ERR msg=audit(1717374125.282:1114): pid=7404 uid=0 auid=4294967295 ses=4294967295 subj=unconfined msg='op=PAM:bad_ident grantors=? acct="?" exe="/usr/sbin/sshd" hostname=43.128.131.205 addr=43.128.131.205 terminal=ssh res=failed'
file /var/log/audit/audit.log at 2024-06-03T00:21:56.519Z, log record: type=USER_LOGIN msg=audit(1717374113.209:1106): pid=7400 uid=0 auid=4294967295 ses=4294967295 subj=unconfined msg='op=login acct=28756E6B6E6F776E207573657229 exe="/usr/sbin/sshd" hostname=? addr=46.25.123.167 terminal=sshd res=failed'
file /var/log/audit/audit.log at 2024-06-03T00:21:56.519Z, log record: type=USER_LOGIN msg=audit(1717374113.209:1107): pid=7400 uid=0 auid=4294967295 ses=4294967295 subj=unconfined msg='op=login acct=28696E76616C6964207573657229 exe="/usr/sbin/sshd" hostname=? addr=46.25.123.167 terminal=sshd res=failed'
file /var/log/audit/audit.log at 2024-06-03T00:21:56.519Z, log record: type=USER_ERR msg=audit(1717374113.361:1108): pid=7400 uid=0 auid=4294967295 ses=4294967295 subj=unconfined msg='op=PAM:bad_ident grantors=? acct="?" exe="/usr/sbin/sshd" hostname=46.25.123.167 addr=46.25.123.167 terminal=ssh res=failed'
file /var/log/audit/audit.log at 2024-06-03T00:21:53.209Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-03T00:21:53.209Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-03T00:21:53.361Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-03T00:22:02.520Z, log record: type=USER_LOGIN msg=audit(1717374121.998:1109): pid=7402 uid=0 auid=4294967295 ses=4294967295 subj=unconfined msg='op=login acct=28756E6B6E6F776E207573657229 exe="/usr/sbin/sshd" hostname=? addr=197.227.8.186 terminal=sshd res=failed'
file /var/log/audit/audit.log at 2024-06-03T00:22:02.520Z, log record: type=USER_LOGIN msg=audit(1717374121.998:1110): pid=7402 uid=0 auid=4294967295 ses=4294967295 subj=unconfined msg='op=login acct=28696E76616C6964207573657229 exe="/usr/sbin/sshd" hostname=? addr=197.227.8.186 terminal=sshd res=failed'
file /var/log/audit/audit.log at 2024-06-03T00:22:02.520Z, log record: type=USER_ERR msg=audit(1717374122.326:1111): pid=7402 uid=0 auid=4294967295 ses=4294967295 subj=unconfined msg='op=PAM:bad_ident grantors=? acct="?" exe="/usr/sbin/sshd" hostname=197.227.8.186 addr=197.227.8.186 terminal=ssh res=failed'
file /var/log/audit/audit.log at 2024-06-03T00:22:01.998Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-03T00:22:01.998Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-03T00:22:02.326Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-03T00:22:05.134Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-03T00:22:05.134Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-03T00:22:05.282Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-03T00:21:42.518Z, log record: type=USER_ACCT msg=audit(1717374095.680:1098): pid=7325 uid=0 auid=4294967295 ses=4294967295 subj=unconfined msg='op=PAM:accounting grantors=pam_permit acct="professor" exe="/usr/sbin/sshd" hostname=68.108.247.157 addr=68.108.247.157 terminal=ssh res=success'
file /var/log/audit/audit.log at 2024-06-03T00:21:42.518Z, log record: type=CRED_ACQ msg=audit(1717374095.684:1099): pid=7325 uid=0 auid=4294967295 ses=4294967295 subj=unconfined msg='op=PAM:setcred grantors=pam_permit,pam_cap acct="professor" exe="/usr/sbin/sshd" hostname=68.108.247.157 addr=68.108.247.157 terminal=ssh res=success'
file /var/log/audit/audit.log at 2024-06-03T00:21:42.518Z, log record: type=LOGIN msg=audit(1717374095.684:1100): pid=7325 uid=0 subj=unconfined old-auid=4294967295 auid=1001 tty=(none) old-ses=4294967295 ses=51 res=1
