For vm-2a:
file /var/log/audit/audit.log at 2024-06-03T00:31:02.621Z, log record: type=USER_LOGIN msg=audit(1717374661.646:1495): pid=8122 uid=0 auid=4294967295 ses=4294967295 subj=unconfined msg='op=login acct=28756E6B6E6F776E207573657229 exe="/usr/sbin/sshd" hostname=? addr=43.133.68.211 terminal=sshd res=failed'
file /var/log/audit/audit.log at 2024-06-03T00:31:02.622Z, log record: type=USER_LOGIN msg=audit(1717374661.646:1496): pid=8122 uid=0 auid=4294967295 ses=4294967295 subj=unconfined msg='op=login acct=28696E76616C6964207573657229 exe="/usr/sbin/sshd" hostname=? addr=43.133.68.211 terminal=sshd res=failed'
file /var/log/audit/audit.log at 2024-06-03T00:31:02.622Z, log record: type=USER_ERR msg=audit(1717374661.794:1497): pid=8122 uid=0 auid=4294967295 ses=4294967295 subj=unconfined msg='op=PAM:bad_ident grantors=? acct="?" exe="/usr/sbin/sshd" hostname=43.133.68.211 addr=43.133.68.211 terminal=ssh res=failed'
file /var/log/audit/audit.log at 2024-06-03T00:31:01.646Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-03T00:31:01.646Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-03T00:31:01.794Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-03T00:30:50.618Z, log record: type=USER_LOGIN msg=audit(1717374649.609:1480): pid=8108 uid=0 auid=4294967295 ses=4294967295 subj=unconfined msg='op=login acct=28756E6B6E6F776E207573657229 exe="/usr/sbin/sshd" hostname=? addr=43.153.180.201 terminal=sshd res=failed'
file /var/log/audit/audit.log at 2024-06-03T00:30:50.619Z, log record: type=USER_LOGIN msg=audit(1717374649.609:1481): pid=8108 uid=0 auid=4294967295 ses=4294967295 subj=unconfined msg='op=login acct=28696E76616C6964207573657229 exe="/usr/sbin/sshd" hostname=? addr=43.153.180.201 terminal=sshd res=failed'
file /var/log/audit/audit.log at 2024-06-03T00:30:50.619Z, log record: type=USER_ERR msg=audit(1717374649.705:1482): pid=8108 uid=0 auid=4294967295 ses=4294967295 subj=unconfined msg='op=PAM:bad_ident grantors=? acct="?" exe="/usr/sbin/sshd" hostname=43.153.180.201 addr=43.153.180.201 terminal=ssh res=failed'
file /var/log/audit/audit.log at 2024-06-03T00:30:50.619Z, log record: type=USER_LOGIN msg=audit(1717374649.837:1483): pid=8110 uid=0 auid=4294967295 ses=4294967295 subj=unconfined msg='op=login acct=28756E6B6E6F776E207573657229 exe="/usr/sbin/sshd" hostname=? addr=43.154.151.93 terminal=sshd res=failed'
file /var/log/audit/audit.log at 2024-06-03T00:30:50.619Z, log record: type=USER_LOGIN msg=audit(1717374649.837:1484): pid=8110 uid=0 auid=4294967295 ses=4294967295 subj=unconfined msg='op=login acct=28696E76616C6964207573657229 exe="/usr/sbin/sshd" hostname=? addr=43.154.151.93 terminal=sshd res=failed'
