For vm-2a:
file /var/log/syslog at 2024-06-05T16:37:21.915Z, log record: Jun  5 16:37:18 vm-2a ansible-async_wrapper.py: 2232 still running (31533405)
file /var/log/syslog at 2024-06-05T16:37:23.915Z, log record: Jun  5 16:37:23 vm-2a ansible-async_wrapper.py: 2232 still running (31533400)
file /var/log/syslog at 2024-06-05T16:37:29.916Z, log record: Jun  5 16:37:28 vm-2a ansible-async_wrapper.py: 2232 still running (31533395)
file /var/log/syslog at 2024-06-05T16:37:15.914Z, log record: Jun  5 16:37:13 vm-2a ansible-async_wrapper.py: 2232 still running (31533410)
For vm-1a:
file /var/log/audit/audit.log at 2024-06-05T16:37:24.703Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:24.703Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:24.703Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:24.707Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:24.707Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:24.707Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:24.707Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:24.707Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:24.707Z, log record: unknown
file /var/log/syslog at 2024-06-05T16:37:28.552Z, log record: Jun  5 16:37:25 vm-1a ansible-async_wrapper.py: 2240 still running (31533400)
file /var/log/syslog at 2024-06-05T16:37:34.553Z, log record: Jun  5 16:37:30 vm-1a ansible-async_wrapper.py: 2240 still running (31533395)
file /var/log/audit/audit.log at 2024-06-05T16:37:14.546Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:14.546Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:14.546Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:14.546Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:14.546Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:14.546Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:14.554Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:14.554Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:14.554Z, log record: unknown
file /var/log/syslog at 2024-06-05T16:37:18.549Z, log record: Jun  5 16:37:15 vm-1a ansible-async_wrapper.py: 2240 still running (31533410)
file /var/log/syslog at 2024-06-05T16:37:20.550Z, log record: Jun  5 16:37:20 vm-1a systemd[1]: Started Session 19 of user student.
file /var/log/audit/audit.log at 2024-06-05T16:37:20.074Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.074Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.074Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.074Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.074Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.074Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.074Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.074Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.074Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.074Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.074Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.074Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.074Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.074Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.074Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.074Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.074Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.074Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.074Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.074Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.074Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.074Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.074Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.074Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.462Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.462Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.462Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.462Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.462Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.462Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.462Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.462Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.462Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.462Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.462Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.462Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.462Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.462Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.462Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.462Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.462Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.462Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.518Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.518Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.518Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.518Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.518Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.518Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.522Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.522Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.522Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.522Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.522Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.522Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.522Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.522Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.526Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.526Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.526Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.526Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.526Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.526Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.526Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.526Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.526Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.526Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.526Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.526Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.526Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.526Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.526Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.526Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.526Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.526Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.526Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.530Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.530Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.530Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.530Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.530Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.566Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.566Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.566Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.566Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.566Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.570Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.570Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.570Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.570Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.570Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.910Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.910Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.910Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:37:20.910Z, log record: unknown
