For vm-1a:
file /var/log/syslog at 2024-06-05T16:35:18.530Z, log record: Jun  5 16:35:15 vm-1a ansible-async_wrapper.py: 2240 still running (31533530)
file /var/log/syslog at 2024-06-05T16:35:24.531Z, log record: Jun  5 16:35:20 vm-1a ansible-async_wrapper.py: 2240 still running (31533525)
file /var/log/audit/audit.log at 2024-06-05T16:35:17.669Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:35:17.669Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:35:17.669Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:35:17.669Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:35:17.669Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:35:17.669Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:35:17.673Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:35:17.673Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:35:17.673Z, log record: unknown
file /var/log/syslog at 2024-06-05T16:35:26.531Z, log record: Jun  5 16:35:25 vm-1a ansible-async_wrapper.py: 2240 still running (31533520)
file /var/log/audit/audit.log at 2024-06-05T16:35:02.660Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:35:02.660Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:35:02.660Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:35:02.660Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:35:02.660Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:35:02.660Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:35:02.664Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:35:02.664Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:35:02.664Z, log record: unknown
file /var/log/syslog at 2024-06-05T16:35:08.527Z, log record: Jun  5 16:35:05 vm-1a ansible-async_wrapper.py: 2240 still running (31533540)
file /var/log/audit/audit.log at 2024-06-05T16:35:08.197Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:35:08.197Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:35:08.197Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:35:08.197Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:35:08.197Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:35:08.197Z, log record: unknown
