For vm-1a:
file /var/log/syslog at 2024-06-05T16:16:17.957Z, log record: Jun  5 16:16:14 vm-1a ansible-async_wrapper.py: 2240 still running (31534670)
file /var/log/syslog at 2024-06-05T16:16:19.957Z, log record: Jun  5 16:16:19 vm-1a ansible-async_wrapper.py: 2240 still running (31534665)
file /var/log/audit/audit.log at 2024-06-05T16:16:15.953Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:16:15.953Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:16:15.953Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:16:15.953Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:16:15.953Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:16:15.953Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:16:15.957Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:16:15.957Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:16:15.957Z, log record: unknown
file /var/log/syslog at 2024-06-05T16:16:25.958Z, log record: Jun  5 16:16:24 vm-1a ansible-async_wrapper.py: 2240 still running (31534660)
file /var/log/syslog at 2024-06-05T16:16:05.954Z, log record: Jun  5 16:16:04 vm-1a ansible-async_wrapper.py: 2240 still running (31534680)
file /var/log/audit/audit.log at 2024-06-05T16:16:05.948Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:16:05.948Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:16:05.948Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:16:05.948Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:16:05.948Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:16:05.948Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:16:05.952Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:16:05.952Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:16:05.952Z, log record: unknown
file /var/log/syslog at 2024-06-05T16:16:11.956Z, log record: Jun  5 16:16:09 vm-1a ansible-async_wrapper.py: 2240 still running (31534675)
file /var/log/syslog at 2024-06-05T16:15:55.951Z, log record: Jun  5 16:15:54 vm-1a ansible-async_wrapper.py: 2240 still running (31534690)
file /var/log/syslog at 2024-06-05T16:15:55.951Z, log record: Jun  5 16:15:54 vm-1a kernel: [ 1507.986773] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=68.108.247.157 DST=10.0.1.2 LEN=84 TOS=0x00 PREC=0x00 TTL=58 ID=20874 PROTO=ICMP TYPE=8 CODE=0 ID=27416 SEQ=20
file /var/log/syslog at 2024-06-05T16:15:55.951Z, log record: Jun  5 16:15:55 vm-1a kernel: [ 1509.000531] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=68.108.247.157 DST=10.0.1.2 LEN=84 TOS=0x00 PREC=0x00 TTL=58 ID=46083 PROTO=ICMP TYPE=8 CODE=0 ID=27416 SEQ=21
