For vm-2a:
file /var/log/syslog at 2024-06-05T16:34:15.885Z, log record: Jun  5 16:34:13 vm-2a ansible-async_wrapper.py: 2232 still running (31533590)
file /var/log/syslog at 2024-06-05T16:34:21.887Z, log record: Jun  5 16:34:18 vm-2a ansible-async_wrapper.py: 2232 still running (31533585)
file /var/log/syslog at 2024-06-05T16:34:23.888Z, log record: Jun  5 16:34:23 vm-2a ansible-async_wrapper.py: 2232 still running (31533580)
file /var/log/syslog at 2024-06-05T16:34:01.883Z, log record: Jun  5 16:33:58 vm-2a ansible-async_wrapper.py: 2232 still running (31533605)
file /var/log/syslog at 2024-06-05T16:34:03.884Z, log record: Jun  5 16:34:03 vm-2a ansible-async_wrapper.py: 2232 still running (31533600)
file /var/log/syslog at 2024-06-05T16:34:09.884Z, log record: Jun  5 16:34:08 vm-2a ansible-async_wrapper.py: 2232 still running (31533595)
For vm-1a:
file /var/log/audit/audit.log at 2024-06-05T16:34:06.452Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.452Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.452Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.452Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.452Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.452Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.452Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.452Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.456Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.456Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.456Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.456Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.456Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.456Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.456Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.456Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.456Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.456Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.456Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.456Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.456Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.456Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.456Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.456Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.812Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.812Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.812Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.812Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.812Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.812Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.812Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.812Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.812Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.812Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.812Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.812Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.812Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.812Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.812Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.812Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.812Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.812Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.872Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.872Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.872Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.872Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.872Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.872Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.876Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.876Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.876Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.876Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.876Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.876Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.876Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.876Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.876Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.876Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.876Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.876Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.876Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.876Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.876Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.876Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.876Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.876Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.876Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.876Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.876Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.876Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:34:06.880Z, log record: unknown
