For vm-2a:
file /var/log/syslog at 2024-06-05T16:41:21.988Z, log record: Jun  5 16:41:18 vm-2a ansible-async_wrapper.py: 2232 still running (31533165)
file /var/log/syslog at 2024-06-05T16:41:23.989Z, log record: Jun  5 16:41:23 vm-2a ansible-async_wrapper.py: 2232 still running (31533160)
file /var/log/syslog at 2024-06-05T16:41:29.989Z, log record: Jun  5 16:41:28 vm-2a ansible-async_wrapper.py: 2232 still running (31533155)
file /var/log/syslog at 2024-06-05T16:41:15.949Z, log record: Jun  5 16:41:13 vm-2a ansible-async_wrapper.py: 2232 still running (31533170)
For vm-1a:
file /var/log/syslog at 2024-06-05T16:41:18.635Z, log record: Jun  5 16:41:16 vm-1a ansible-async_wrapper.py: 2240 still running (31533170)
file /var/log/audit/audit.log at 2024-06-05T16:41:13.795Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:13.795Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:13.795Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:13.795Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:13.795Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:13.795Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:13.795Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:13.795Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:13.795Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:19.616Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:19.616Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:19.616Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:19.616Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:19.616Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:19.616Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:19.616Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:19.616Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:19.616Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:19.616Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:19.616Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:19.620Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:19.620Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:19.620Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:19.620Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:19.620Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:19.620Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:19.620Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:19.620Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:19.620Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:19.620Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:19.620Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:19.620Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:19.620Z, log record: unknown
file /var/log/syslog at 2024-06-05T16:41:20.636Z, log record: Jun  5 16:41:20 vm-1a systemd[1]: Started Session 23 of user student.
file /var/log/syslog at 2024-06-05T16:41:20.636Z, log record: Jun  5 16:41:20 vm-1a systemd[1]: session-23.scope: Succeeded.
file /var/log/audit/audit.log at 2024-06-05T16:41:20.036Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.036Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.036Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.036Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.036Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.036Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.036Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.036Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.036Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.036Z, log record: unknown
