For vm-1a:
file /var/log/syslog at 2024-06-05T16:38:34.596Z, log record: Jun  5 16:38:30 vm-1a ansible-async_wrapper.py: 2240 still running (31533335)
file /var/log/audit/audit.log at 2024-06-05T16:38:31.768Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:38:31.768Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:38:31.768Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:38:31.768Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:38:31.768Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:38:31.768Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:38:31.772Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:38:31.772Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:38:31.772Z, log record: unknown
file /var/log/syslog at 2024-06-05T16:38:36.596Z, log record: Jun  5 16:38:35 vm-1a ansible-async_wrapper.py: 2240 still running (31533330)
file /var/log/syslog at 2024-06-05T16:38:42.597Z, log record: Jun  5 16:38:40 vm-1a ansible-async_wrapper.py: 2240 still running (31533325)
file /var/log/syslog at 2024-06-05T16:38:22.561Z, log record: Jun  5 16:38:20 vm-1a ansible-async_wrapper.py: 2240 still running (31533345)
file /var/log/syslog at 2024-06-05T16:38:28.594Z, log record: Jun  5 16:38:25 vm-1a ansible-async_wrapper.py: 2240 still running (31533340)
file /var/log/syslog at 2024-06-05T16:38:28.594Z, log record: Jun  5 16:38:26 vm-1a systemd[1]: Started Session 20 of user student.
file /var/log/syslog at 2024-06-05T16:38:28.594Z, log record: Jun  5 16:38:26 vm-1a systemd[1]: session-20.scope: Succeeded.
file /var/log/audit/audit.log at 2024-06-05T16:38:25.655Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:38:25.655Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:38:25.655Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:38:25.655Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:38:25.655Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:38:25.655Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:38:25.655Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:38:25.655Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:38:25.655Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:38:25.655Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:38:25.655Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:38:25.655Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:38:25.655Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:38:25.655Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:38:25.655Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:38:25.655Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:38:25.655Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:38:25.655Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:38:25.655Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:38:25.655Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:38:25.655Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:38:25.655Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:38:25.655Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:38:25.655Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:38:26.051Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:38:26.051Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:38:26.051Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:38:26.051Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:38:26.051Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:38:26.051Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:38:26.051Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:38:26.051Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:38:26.051Z, log record: unknown
