For vm-2a:
file /var/log/syslog at 2024-06-05T16:40:29.943Z, log record: Jun  5 16:40:28 vm-2a ansible-async_wrapper.py: 2232 still running (31533215)
file /var/log/syslog at 2024-06-05T16:40:35.944Z, log record: Jun  5 16:40:33 vm-2a ansible-async_wrapper.py: 2232 still running (31533210)
file /var/log/syslog at 2024-06-05T16:40:15.940Z, log record: Jun  5 16:40:13 vm-2a ansible-async_wrapper.py: 2232 still running (31533230)
file /var/log/syslog at 2024-06-05T16:40:21.941Z, log record: Jun  5 16:40:18 vm-2a ansible-async_wrapper.py: 2232 still running (31533225)
file /var/log/syslog at 2024-06-05T16:40:23.942Z, log record: Jun  5 16:40:23 vm-2a ansible-async_wrapper.py: 2232 still running (31533220)
For vm-1a:
file /var/log/syslog at 2024-06-05T16:40:24.621Z, log record: Jun  5 16:40:20 vm-1a ansible-async_wrapper.py: 2240 still running (31533225)
file /var/log/syslog at 2024-06-05T16:40:24.621Z, log record: Jun  5 16:40:22 vm-1a systemd[1]: Started Session 22 of user student.
file /var/log/syslog at 2024-06-05T16:40:24.621Z, log record: Jun  5 16:40:23 vm-1a systemd[1]: session-22.scope: Succeeded.
file /var/log/syslog at 2024-06-05T16:40:26.621Z, log record: Jun  5 16:40:25 vm-1a ansible-async_wrapper.py: 2240 still running (31533220)
file /var/log/audit/audit.log at 2024-06-05T16:40:21.784Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:40:21.784Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:40:21.784Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:40:21.784Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:40:21.784Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:40:21.784Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:40:21.788Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:40:21.788Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:40:21.788Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:40:22.196Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:40:22.196Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:40:22.196Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:40:22.196Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:40:22.196Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:40:22.196Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:40:22.196Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:40:22.196Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:40:22.196Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:40:22.196Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:40:22.196Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:40:22.196Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:40:22.196Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:40:22.196Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:40:22.196Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:40:22.196Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:40:22.196Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:40:22.196Z, log record: unknown
