For vm-1a:
file /var/log/syslog at 2024-06-05T05:16:06.314Z, log record: Jun  5 05:16:05 vm-1a ansible-async_wrapper.py: 2229 still running (31535045)
file /var/log/syslog at 2024-06-05T05:16:08.314Z, log record: Jun  5 05:16:07 vm-1a kernel: [ 1138.631804] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=3.87.152.102 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=250 ID=57175 DF PROTO=ICMP TYPE=8 CODE=0 ID=30 SEQ=11033
file /var/log/syslog at 2024-06-05T05:16:08.314Z, log record: Jun  5 05:16:07 vm-1a kernel: [ 1138.700799] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=44.202.166.255 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=250 ID=39807 DF PROTO=ICMP TYPE=8 CODE=0 ID=30 SEQ=11033
file /var/log/syslog at 2024-06-05T05:16:08.314Z, log record: Jun  5 05:16:07 vm-1a kernel: [ 1138.917057] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=44.223.109.78 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=243 ID=31884 DF PROTO=ICMP TYPE=8 CODE=0 ID=30 SEQ=11033
file /var/log/syslog at 2024-06-05T05:16:08.314Z, log record: Jun  5 05:16:07 vm-1a kernel: [ 1138.925588] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=16.62.105.67 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=249 ID=16525 DF PROTO=ICMP TYPE=8 CODE=0 ID=12 SEQ=10293
file /var/log/syslog at 2024-06-05T05:16:08.314Z, log record: Jun  5 05:16:07 vm-1a kernel: [ 1138.988278] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=3.92.46.156 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=250 ID=10028 DF PROTO=ICMP TYPE=8 CODE=0 ID=30 SEQ=11033
file /var/log/syslog at 2024-06-05T05:16:08.314Z, log record: Jun  5 05:16:07 vm-1a kernel: [ 1138.991398] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=3.239.113.141 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=251 ID=22917 DF PROTO=ICMP TYPE=8 CODE=0 ID=30 SEQ=11033
file /var/log/kern.log at 2024-06-05T05:16:09.993Z, log record: Jun  5 05:16:07 vm-1a kernel: [ 1138.631804] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=3.87.152.102 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=250 ID=57175 DF PROTO=ICMP TYPE=8 CODE=0 ID=30 SEQ=11033
file /var/log/kern.log at 2024-06-05T05:16:09.993Z, log record: Jun  5 05:16:07 vm-1a kernel: [ 1138.700799] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=44.202.166.255 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=250 ID=39807 DF PROTO=ICMP TYPE=8 CODE=0 ID=30 SEQ=11033
file /var/log/kern.log at 2024-06-05T05:16:09.993Z, log record: Jun  5 05:16:07 vm-1a kernel: [ 1138.917057] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=44.223.109.78 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=243 ID=31884 DF PROTO=ICMP TYPE=8 CODE=0 ID=30 SEQ=11033
file /var/log/kern.log at 2024-06-05T05:16:09.993Z, log record: Jun  5 05:16:07 vm-1a kernel: [ 1138.925588] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=16.62.105.67 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=249 ID=16525 DF PROTO=ICMP TYPE=8 CODE=0 ID=12 SEQ=10293
file /var/log/kern.log at 2024-06-05T05:16:09.993Z, log record: Jun  5 05:16:07 vm-1a kernel: [ 1138.988278] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=3.92.46.156 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=250 ID=10028 DF PROTO=ICMP TYPE=8 CODE=0 ID=30 SEQ=11033
file /var/log/kern.log at 2024-06-05T05:16:09.993Z, log record: Jun  5 05:16:07 vm-1a kernel: [ 1138.991398] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=3.239.113.141 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=251 ID=22917 DF PROTO=ICMP TYPE=8 CODE=0 ID=30 SEQ=11033
file /var/log/kern.log at 2024-06-05T05:16:09.993Z, log record: Jun  5 05:16:09 vm-1a kernel: [ 1140.675692] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=16.62.111.114 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=249 ID=8321 DF PROTO=ICMP TYPE=8 CODE=0 ID=11 SEQ=21872
file /var/log/kern.log at 2024-06-05T05:16:09.993Z, log record: Jun  5 05:16:09 vm-1a kernel: [ 1140.933393] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=16.63.159.108 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=249 ID=20680 DF PROTO=ICMP TYPE=8 CODE=0 ID=12 SEQ=23160
file /var/log/kern.log at 2024-06-05T05:16:09.993Z, log record: Jun  5 05:16:09 vm-1a kernel: [ 1141.033094] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=52.86.253.175 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=248 ID=47383 DF PROTO=ICMP TYPE=8 CODE=0 ID=30 SEQ=11033
file /var/log/syslog at 2024-06-05T05:16:10.314Z, log record: Jun  5 05:16:09 vm-1a kernel: [ 1140.675692] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=16.62.111.114 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=249 ID=8321 DF PROTO=ICMP TYPE=8 CODE=0 ID=11 SEQ=21872
