For vm-1a:
file /var/log/syslog at 2024-06-05T05:13:02.223Z, log record: Jun  5 05:13:00 vm-1a ansible-async_wrapper.py: 2229 still running (31535230)
file /var/log/kern.log at 2024-06-05T05:13:07.967Z, log record: Jun  5 05:13:07 vm-1a kernel: [  958.550758] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=16.63.255.82 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=248 ID=23684 DF PROTO=ICMP TYPE=8 CODE=0 ID=12 SEQ=10293
file /var/log/kern.log at 2024-06-05T05:13:07.967Z, log record: Jun  5 05:13:07 vm-1a kernel: [  959.281491] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=18.232.147.34 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=251 ID=54978 DF PROTO=ICMP TYPE=8 CODE=0 ID=30 SEQ=11033
file /var/log/syslog at 2024-06-05T05:13:08.224Z, log record: Jun  5 05:13:05 vm-1a ansible-async_wrapper.py: 2229 still running (31535225)
file /var/log/syslog at 2024-06-05T05:13:08.224Z, log record: Jun  5 05:13:07 vm-1a kernel: [  958.550758] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=16.63.255.82 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=248 ID=23684 DF PROTO=ICMP TYPE=8 CODE=0 ID=12 SEQ=10293
file /var/log/syslog at 2024-06-05T05:13:08.224Z, log record: Jun  5 05:13:07 vm-1a kernel: [  959.281491] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=18.232.147.34 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=251 ID=54978 DF PROTO=ICMP TYPE=8 CODE=0 ID=30 SEQ=11033
file /var/log/syslog at 2024-06-05T05:13:08.224Z, log record: Jun  5 05:13:08 vm-1a kernel: [  959.662939] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=35.173.180.18 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=249 ID=4297 DF PROTO=ICMP TYPE=8 CODE=0 ID=30 SEQ=11033
file /var/log/syslog at 2024-06-05T05:13:08.224Z, log record: Jun  5 05:13:08 vm-1a kernel: [  959.667860] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=3.235.21.83 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=249 ID=55424 DF PROTO=ICMP TYPE=8 CODE=0 ID=30 SEQ=11033
file /var/log/kern.log at 2024-06-05T05:13:09.968Z, log record: Jun  5 05:13:08 vm-1a kernel: [  959.662939] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=35.173.180.18 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=249 ID=4297 DF PROTO=ICMP TYPE=8 CODE=0 ID=30 SEQ=11033
file /var/log/kern.log at 2024-06-05T05:13:09.968Z, log record: Jun  5 05:13:08 vm-1a kernel: [  959.667860] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=3.235.21.83 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=249 ID=55424 DF PROTO=ICMP TYPE=8 CODE=0 ID=30 SEQ=11033
file /var/log/kern.log at 2024-06-05T05:13:09.968Z, log record: Jun  5 05:13:08 vm-1a kernel: [  960.164447] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=3.87.152.102 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=250 ID=29708 DF PROTO=ICMP TYPE=8 CODE=0 ID=31 SEQ=16098
