For vm-1a:
file /var/log/kern.log at 2024-06-05T05:13:25.969Z, log record: Jun  5 05:13:18 vm-1a kernel: [  969.577517] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=34.205.18.166 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=250 ID=3589 DF PROTO=ICMP TYPE=8 CODE=0 ID=30 SEQ=11033
file /var/log/kern.log at 2024-06-05T05:13:25.970Z, log record: Jun  5 05:13:19 vm-1a kernel: [  970.551042] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=3.239.113.141 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=251 ID=8797 DF PROTO=ICMP TYPE=8 CODE=0 ID=31 SEQ=16098
file /var/log/syslog at 2024-06-05T05:13:26.228Z, log record: Jun  5 05:13:25 vm-1a ansible-async_wrapper.py: 2229 still running (31535205)
file /var/log/kern.log at 2024-06-05T05:13:27.970Z, log record: Jun  5 05:13:27 vm-1a kernel: [  979.327109] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=44.192.12.42 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=242 ID=21640 DF PROTO=ICMP TYPE=8 CODE=0 ID=30 SEQ=11033
file /var/log/syslog at 2024-06-05T05:13:28.228Z, log record: Jun  5 05:13:27 vm-1a kernel: [  979.327109] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=44.192.12.42 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=242 ID=21640 DF PROTO=ICMP TYPE=8 CODE=0 ID=30 SEQ=11033
file /var/log/kern.log at 2024-06-05T05:13:29.971Z, log record: Jun  5 05:13:28 vm-1a kernel: [  980.251421] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=54.175.182.118 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=241 ID=35297 DF PROTO=ICMP TYPE=8 CODE=0 ID=31 SEQ=16098
file /var/log/kern.log at 2024-06-05T05:13:29.971Z, log record: Jun  5 05:13:28 vm-1a kernel: [  980.273906] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=52.83.8.210 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=239 ID=24924 DF PROTO=ICMP TYPE=8 CODE=0 ID=10 SEQ=9740
file /var/log/kern.log at 2024-06-05T05:13:29.971Z, log record: Jun  5 05:13:28 vm-1a kernel: [  980.326213] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=43.192.68.30 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=239 ID=22623 DF PROTO=ICMP TYPE=8 CODE=0 ID=10 SEQ=9740
file /var/log/kern.log at 2024-06-05T05:13:29.971Z, log record: Jun  5 05:13:28 vm-1a kernel: [  980.347702] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=68.79.41.137 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=239 ID=24877 DF PROTO=ICMP TYPE=8 CODE=0 ID=10 SEQ=9740
file /var/log/kern.log at 2024-06-05T05:13:29.971Z, log record: Jun  5 05:13:28 vm-1a kernel: [  980.352593] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=54.174.37.228 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=249 ID=12167 DF PROTO=ICMP TYPE=8 CODE=0 ID=31 SEQ=16098
file /var/log/syslog at 2024-06-05T05:13:30.229Z, log record: Jun  5 05:13:28 vm-1a kernel: [  980.251421] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=54.175.182.118 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=241 ID=35297 DF PROTO=ICMP TYPE=8 CODE=0 ID=31 SEQ=16098
file /var/log/syslog at 2024-06-05T05:13:30.229Z, log record: Jun  5 05:13:28 vm-1a kernel: [  980.273906] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=52.83.8.210 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=239 ID=24924 DF PROTO=ICMP TYPE=8 CODE=0 ID=10 SEQ=9740
file /var/log/syslog at 2024-06-05T05:13:30.229Z, log record: Jun  5 05:13:28 vm-1a kernel: [  980.326213] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=43.192.68.30 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=239 ID=22623 DF PROTO=ICMP TYPE=8 CODE=0 ID=10 SEQ=9740
file /var/log/syslog at 2024-06-05T05:13:30.229Z, log record: Jun  5 05:13:28 vm-1a kernel: [  980.347702] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=68.79.41.137 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=239 ID=24877 DF PROTO=ICMP TYPE=8 CODE=0 ID=10 SEQ=9740
file /var/log/syslog at 2024-06-05T05:13:30.229Z, log record: Jun  5 05:13:28 vm-1a kernel: [  980.352593] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=54.174.37.228 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=249 ID=12167 DF PROTO=ICMP TYPE=8 CODE=0 ID=31 SEQ=16098
file /var/log/syslog at 2024-06-05T05:13:30.229Z, log record: Jun  5 05:13:30 vm-1a ansible-async_wrapper.py: 2229 still running (31535200)
file /var/log/syslog at 2024-06-05T05:13:12.225Z, log record: Jun  5 05:13:11 vm-1a kernel: [  962.709608] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=107.22.143.165 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=249 ID=19038 DF PROTO=ICMP TYPE=8 CODE=0 ID=31 SEQ=16098
file /var/log/syslog at 2024-06-05T05:13:18.226Z, log record: Jun  5 05:13:15 vm-1a ansible-async_wrapper.py: 2229 still running (31535215)
file /var/log/syslog at 2024-06-05T05:13:18.226Z, log record: Jun  5 05:13:18 vm-1a kernel: [  969.577517] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=34.205.18.166 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=250 ID=3589 DF PROTO=ICMP TYPE=8 CODE=0 ID=30 SEQ=11033
file /var/log/syslog at 2024-06-05T05:13:20.227Z, log record: Jun  5 05:13:19 vm-1a kernel: [  970.551042] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=3.239.113.141 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=251 ID=8797 DF PROTO=ICMP TYPE=8 CODE=0 ID=31 SEQ=16098
file /var/log/syslog at 2024-06-05T05:13:20.227Z, log record: Jun  5 05:13:20 vm-1a ansible-async_wrapper.py: 2229 still running (31535210)
file /var/log/syslog at 2024-06-05T05:13:02.223Z, log record: Jun  5 05:13:00 vm-1a ansible-async_wrapper.py: 2229 still running (31535230)
file /var/log/kern.log at 2024-06-05T05:13:07.967Z, log record: Jun  5 05:13:07 vm-1a kernel: [  958.550758] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=16.63.255.82 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=248 ID=23684 DF PROTO=ICMP TYPE=8 CODE=0 ID=12 SEQ=10293
file /var/log/kern.log at 2024-06-05T05:13:07.967Z, log record: Jun  5 05:13:07 vm-1a kernel: [  959.281491] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=18.232.147.34 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=251 ID=54978 DF PROTO=ICMP TYPE=8 CODE=0 ID=30 SEQ=11033
file /var/log/syslog at 2024-06-05T05:13:08.224Z, log record: Jun  5 05:13:05 vm-1a ansible-async_wrapper.py: 2229 still running (31535225)
file /var/log/syslog at 2024-06-05T05:13:08.224Z, log record: Jun  5 05:13:07 vm-1a kernel: [  958.550758] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=16.63.255.82 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=248 ID=23684 DF PROTO=ICMP TYPE=8 CODE=0 ID=12 SEQ=10293
file /var/log/syslog at 2024-06-05T05:13:08.224Z, log record: Jun  5 05:13:07 vm-1a kernel: [  959.281491] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=18.232.147.34 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=251 ID=54978 DF PROTO=ICMP TYPE=8 CODE=0 ID=30 SEQ=11033
file /var/log/syslog at 2024-06-05T05:13:08.224Z, log record: Jun  5 05:13:08 vm-1a kernel: [  959.662939] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=35.173.180.18 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=249 ID=4297 DF PROTO=ICMP TYPE=8 CODE=0 ID=30 SEQ=11033
file /var/log/syslog at 2024-06-05T05:13:08.224Z, log record: Jun  5 05:13:08 vm-1a kernel: [  959.667860] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=3.235.21.83 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=249 ID=55424 DF PROTO=ICMP TYPE=8 CODE=0 ID=30 SEQ=11033
